NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
Class,Field,Name,Class,Field,Name,Name,Notes
EnumSkyBlock,*,$VALUES,*,*,*,$VALUES,""
EnumOS1,*,$VALUES,*,*,*,$VALUES,""
EnumOptions,*,$VALUES,*,*,*,$VALUES,""
EnumArt,*,$VALUES,*,*,*,$VALUES,""
EnumOS2,*,$VALUES,*,*,*,$VALUES,""
EnumToolMaterial,*,$VALUES,*,*,*,$VALUES,""
EnumMovingObjectType,*,$VALUES,*,*,*,$VALUES,""
EnumStatus,*,$VALUES,*,*,*,$VALUES,""
EnumMobType,*,$VALUES,*,*,*,$VALUES,""
EnumCreatureType,*,$VALUES,*,*,*,$VALUES,""
EnumOptions,*,AMBIENT_OCCLUSION,*,*,*,AMBIENT_OCCLUSION,""
EnumOptions,*,ANAGLYPH,*,*,*,ANAGLYPH,""
EnumArt,*,Alban,*,*,*,Alban,""
EnumArt,*,Aztec,*,*,*,Aztec,""
EnumArt,*,Aztec2,*,*,*,Aztec2,""
EnumSkyBlock,*,Block,*,*,*,Block,""
EnumArt,*,Bomb,*,*,*,Bomb,""
EnumArt,*,BurningSkull,*,*,*,BurningSkull,""
EnumArt,*,Bust,*,*,*,Bust,""
EnumArt,*,Courbet,*,*,*,Courbet,""
EnumArt,*,Creebet,*,*,*,Creebet,""
EnumOptions,*,DIFFICULTY,*,*,*,DIFFICULTY,""
EnumArt,*,DonkeyKong,*,*,*,DonkeyKong,""
EnumToolMaterial,*,EMERALD,*,*,*,EMERALD,""
EnumMovingObjectType,*,ENTITY,*,*,*,ENTITY,""
EnumArt,*,Fighters,*,*,*,Fighters,""
EnumToolMaterial,*,GOLD,*,*,*,GOLD,""
EnumOptions,*,GRAPHICS,*,*,*,GRAPHICS,""
EnumOptions,*,GUI_SCALE,*,*,*,GUI_SCALE,""
EnumArt,*,Graham,*,*,*,Graham,""
EnumOptions,*,INVERT_MOUSE,*,*,*,INVERT_MOUSE,""
EnumToolMaterial,*,IRON,*,*,*,IRON,""
EnumArt,*,Kebab,*,*,*,Kebab,""
EnumOptions,*,LIMIT_FRAMERATE,*,*,*,LIMIT_FRAMERATE,""
EnumOptions,*,MUSIC,*,*,*,MUSIC,""
EnumArt,*,Match,*,*,*,Match,""
EnumStatus,*,NOT_POSSIBLE_HERE,*,*,*,NOT_POSSIBLE_HERE,""
EnumStatus,*,NOT_POSSIBLE_NOW,*,*,*,NOT_POSSIBLE_NOW,""
EnumStatus,*,OK,*,*,*,OK,""
EnumStatus,*,OTHER_PROBLEM,*,*,*,OTHER_PROBLEM,""
EnumArt,*,Pigscene,*,*,*,Pigscene,""
EnumArt,*,Plant,*,*,*,Plant,""
EnumArt,*,Pointer,*,*,*,Pointer,""
EnumArt,*,Pool,*,*,*,Pool,""
EnumOptions,*,RENDER_DISTANCE,*,*,*,RENDER_DISTANCE,""
EnumOptions,*,SENSITIVITY,*,*,*,SENSITIVITY,""
EnumOptions,*,SOUND,*,*,*,SOUND,""
EnumToolMaterial,*,STONE,*,*,*,STONE,""
EnumArt,*,Sea,*,*,*,Sea,""
EnumArt,*,Skeleton,*,*,*,Skeleton,""
EnumArt,*,SkullAndRoses,*,*,*,SkullAndRoses,""
EnumSkyBlock,*,Sky,*,*,*,Sky,""
EnumArt,*,Stage,*,*,*,Stage,""
EnumArt,*,Sunset,*,*,*,Sunset,""
EnumMovingObjectType,*,TILE,*,*,*,TILE,""
EnumStatus,*,TOO_FAR_AWAY,*,*,*,TOO_FAR_AWAY,""
EnumOptions,*,VIEW_BOBBING,*,*,*,VIEW_BOBBING,""
EnumArt,*,Void,*,*,*,Void,""
EnumToolMaterial,*,WOOD,*,*,*,WOOD,""
EnumArt,*,Wanderer,*,*,*,Wanderer,""
EnumArt,*,Wasteland,*,*,*,Wasteland,""
EnumCreatureType,*,creature,*,*,*,creature,""
EnumMobType,*,everything,*,*,*,everything,""
GuiEditSign,*,field_1000_j,*,*,*,editLine,"The number of the line that is being edited."
GuiEditSign,*,field_1002_h,*,*,*,entitySign,"Reference to the sign object."
LoadingScreenRenderer,*,field_1003_b,*,*,*,mc,"A reference to the Minecraft object."
LoadingScreenRenderer,*,field_1004_a,*,*,*,field_1004_a,""
LoadingScreenRenderer,*,field_1005_e,*,*,*,field_1005_e,""
LoadingScreenRenderer,*,field_1006_d,*,*,*,field_1006_d,""
LoadingScreenRenderer,*,field_1007_c,*,*,*,field_1007_c,""
RedstoneUpdateInfo,*,field_1008_b,*,*,*,y,""
RedstoneUpdateInfo,*,field_1009_a,*,*,*,x,""
RedstoneUpdateInfo,*,field_1010_d,*,*,*,updateTime,""
RedstoneUpdateInfo,*,field_1011_c,*,*,*,z,""
World,*,field_1012_M,*,*,*,field_1012_M,""
World,*,field_1017_H,*,*,*,chunkProvider,"Handles chunk operations and caching"
World,*,field_1019_F,*,*,*,field_1019_F,""
World,*,field_1024_A,*,*,*,unloadedEntityList,""
World,*,field_1026_y,*,*,*,multiplayerWorld,"Set to true if this is a multiplayer world, false otherwise."
World,*,field_1033_r,*,*,*,isNewWorld,"Used to differentiate between a newly generated world and an already existing world."
World,*,field_1037_n,*,*,*,rand,"RNG for world."
World,*,field_1039_l,*,*,*,difficultySetting,"Option > Difficulty setting (0 - 3)"
World,*,field_1040_k,*,*,*,playerEntities,"Array list of players in the world."
World,*,field_1043_h,*,*,*,editingBlocks,"true while the world is editing blocks"
World,*,field_1046_e,*,*,*,skylightSubtracted,"How much light is subtracted from full daylight"
World,*,field_1049_b,*,*,*,loadedTileEntityList,"A list of all TileEntities in all currently-loaded chunks"
World,*,field_1050_a,*,*,*,loadedEntityList,"A list of all Entities in all currently-loaded chunks"
World,*,field_1051_z,*,*,*,field_1051_z,""
WorldClient,*,field_1052_A,*,*,*,sendQueue,"The packets that need to be sent to the server."
WorldClient,*,field_1053_F,*,*,*,field_1053_F,""
World,*,field_1054_E,*,*,*,lockTimestamp,"Contains a timestamp from when the World object was created. Is used in the session.lock file"
